Total Reads                   102346241
Total Tags                    136382377
Total Assigned Tags           128610073
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            64078345            1747.50           
5'UTR_Exons         69838693            10468728            149.90            
3'UTR_Exons         94555913            26789529            283.32            
Introns             1875272435          26687410            14.23             
TSS_up_1kb          26849677            41240               1.54              
TSS_up_5kb          120321950           97843               0.81              
TSS_up_10kb         212393150           141090              0.66              
TES_down_1kb        31509987            117960              3.74              
TES_down_5kb        133913777           333710              2.49              
TES_down_10kb       229952372           444971              1.94              
=====================================================================
