Total Reads                   103986453
Total Tags                    135271424
Total Assigned Tags           127366728
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            57783660            1575.83           
5'UTR_Exons         69838693            7709588             110.39            
3'UTR_Exons         94555913            24614155            260.31            
Introns             1875272435          36500107            19.46             
TSS_up_1kb          26849677            46235               1.72              
TSS_up_5kb          120321950           111841              0.93              
TSS_up_10kb         212393150           164706              0.78              
TES_down_1kb        31509987            187622              5.95              
TES_down_5kb        133913777           454423              3.39              
TES_down_10kb       229952372           594512              2.59              
=====================================================================
