Total Reads                   107449732
Total Tags                    141634551
Total Assigned Tags           133138567
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            64350786            1754.93           
5'UTR_Exons         69838693            7961630             114.00            
3'UTR_Exons         94555913            27926041            295.34            
Introns             1875272435          32127231            17.13             
TSS_up_1kb          26849677            55063               2.05              
TSS_up_5kb          120321950           122793              1.02              
TSS_up_10kb         212393150           171609              0.81              
TES_down_1kb        31509987            165524              5.25              
TES_down_5kb        133913777           458049              3.42              
TES_down_10kb       229952372           601270              2.61              
=====================================================================
