Total Reads                   103636432
Total Tags                    140316482
Total Assigned Tags           132471601
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            68625114            1871.49           
5'UTR_Exons         69838693            8852235             126.75            
3'UTR_Exons         94555913            25443779            269.09            
Introns             1875272435          28946773            15.44             
TSS_up_1kb          26849677            49460               1.84              
TSS_up_5kb          120321950           105636              0.88              
TSS_up_10kb         212393150           144879              0.68              
TES_down_1kb        31509987            119874              3.80              
TES_down_5kb        133913777           349268              2.61              
TES_down_10kb       229952372           458821              2.00              
=====================================================================
