Total Reads                   115587385
Total Tags                    154356760
Total Assigned Tags           145303944
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            72761179            1984.29           
5'UTR_Exons         69838693            11219235            160.64            
3'UTR_Exons         94555913            29778616            314.93            
Introns             1875272435          30867756            16.46             
TSS_up_1kb          26849677            48624               1.81              
TSS_up_5kb          120321950           113121              0.94              
TSS_up_10kb         212393150           163009              0.77              
TES_down_1kb        31509987            136095              4.32              
TES_down_5kb        133913777           384389              2.87              
TES_down_10kb       229952372           514149              2.24              
=====================================================================
