Total Reads                   114922992
Total Tags                    151667613
Total Assigned Tags           142921245
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            68456677            1866.90           
5'UTR_Exons         69838693            9713239             139.08            
3'UTR_Exons         94555913            28495209            301.36            
Introns             1875272435          35488258            18.92             
TSS_up_1kb          26849677            53335               1.99              
TSS_up_5kb          120321950           124448              1.03              
TSS_up_10kb         212393150           179254              0.84              
TES_down_1kb        31509987            167483              5.32              
TES_down_5kb        133913777           443963              3.32              
TES_down_10kb       229952372           588608              2.56              
=====================================================================
