Total Reads                   114431490
Total Tags                    150826260
Total Assigned Tags           141948610
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            68533869            1869.00           
5'UTR_Exons         69838693            9233007             132.20            
3'UTR_Exons         94555913            30346981            320.94            
Introns             1875272435          33046572            17.62             
TSS_up_1kb          26849677            57696               2.15              
TSS_up_5kb          120321950           127900              1.06              
TSS_up_10kb         212393150           177808              0.84              
TES_down_1kb        31509987            165356              5.25              
TES_down_5kb        133913777           463538              3.46              
TES_down_10kb       229952372           610373              2.65              
=====================================================================
