Total Reads                   115686302
Total Tags                    158536621
Total Assigned Tags           149234747
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            79292476            2162.41           
5'UTR_Exons         69838693            10594053            151.69            
3'UTR_Exons         94555913            29222097            309.05            
Introns             1875272435          29392872            15.67             
TSS_up_1kb          26849677            56185               2.09              
TSS_up_5kb          120321950           116921              0.97              
TSS_up_10kb         212393150           160257              0.75              
TES_down_1kb        31509987            223507              7.09              
TES_down_5kb        133913777           461019              3.44              
TES_down_10kb       229952372           572992              2.49              
=====================================================================
