Total Reads                   114709931
Total Tags                    154071290
Total Assigned Tags           145354842
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            73721123            2010.47           
5'UTR_Exons         69838693            9822031             140.64            
3'UTR_Exons         94555913            28052846            296.68            
Introns             1875272435          33064603            17.63             
TSS_up_1kb          26849677            54933               2.05              
TSS_up_5kb          120321950           117630              0.98              
TSS_up_10kb         212393150           163411              0.77              
TES_down_1kb        31509987            146703              4.66              
TES_down_5kb        133913777           404662              3.02              
TES_down_10kb       229952372           530828              2.31              
=====================================================================
