Total Reads                   111048963
Total Tags                    142440584
Total Assigned Tags           133339491
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            58648898            1599.43           
5'UTR_Exons         69838693            6797977             97.34             
3'UTR_Exons         94555913            21970869            232.36            
Introns             1875272435          45165951            24.09             
TSS_up_1kb          26849677            35929               1.34              
TSS_up_5kb          120321950           103557              0.86              
TSS_up_10kb         212393150           162664              0.77              
TES_down_1kb        31509987            144517              4.59              
TES_down_5kb        133913777           432206              3.23              
TES_down_10kb       229952372           593132              2.58              
=====================================================================
