Total Reads                   113140120
Total Tags                    148002329
Total Assigned Tags           139044357
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            64880762            1769.38           
5'UTR_Exons         69838693            10327437            147.88            
3'UTR_Exons         94555913            28925023            305.90            
Introns             1875272435          34158913            18.22             
TSS_up_1kb          26849677            42750               1.59              
TSS_up_5kb          120321950           109035              0.91              
TSS_up_10kb         212393150           162897              0.77              
TES_down_1kb        31509987            162647              5.16              
TES_down_5kb        133913777           443285              3.31              
TES_down_10kb       229952372           589325              2.56              
=====================================================================
