Total Reads                   109023990
Total Tags                    147276537
Total Assigned Tags           138101087
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            71637809            1953.65           
5'UTR_Exons         69838693            9427531             134.99            
3'UTR_Exons         94555913            25141474            265.89            
Introns             1875272435          31309000            16.70             
TSS_up_1kb          26849677            33616               1.25              
TSS_up_5kb          120321950           81013               0.67              
TSS_up_10kb         212393150           117698              0.55              
TES_down_1kb        31509987            156161              4.96              
TES_down_5kb        133913777           361593              2.70              
TES_down_10kb       229952372           467575              2.03              
=====================================================================
