Total Reads                   99940482
Total Tags                    134335706
Total Assigned Tags           125787268
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            64477840            1758.39           
5'UTR_Exons         69838693            9023862             129.21            
3'UTR_Exons         94555913            23315956            246.58            
Introns             1875272435          28446220            15.17             
TSS_up_1kb          26849677            31060               1.16              
TSS_up_5kb          120321950           78045               0.65              
TSS_up_10kb         212393150           115420              0.54              
TES_down_1kb        31509987            103628              3.29              
TES_down_5kb        133913777           302636              2.26              
TES_down_10kb       229952372           407970              1.77              
=====================================================================
