Total Reads                   100658398
Total Tags                    135506720
Total Assigned Tags           126893697
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            65339488            1781.89           
5'UTR_Exons         69838693            7776294             111.35            
3'UTR_Exons         94555913            22354416            236.41            
Introns             1875272435          30820325            16.44             
TSS_up_1kb          26849677            33978               1.27              
TSS_up_5kb          120321950           92401               0.77              
TSS_up_10kb         212393150           140692              0.66              
TES_down_1kb        31509987            120246              3.82              
TES_down_5kb        133913777           338100              2.52              
TES_down_10kb       229952372           462482              2.01              
=====================================================================
