Total Reads                   102600027
Total Tags                    135834525
Total Assigned Tags           127646387
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            62206552            1696.45           
5'UTR_Exons         69838693            6607202             94.61             
3'UTR_Exons         94555913            25422488            268.86            
Introns             1875272435          32648585            17.41             
TSS_up_1kb          26849677            50651               1.89              
TSS_up_5kb          120321950           114518              0.95              
TSS_up_10kb         212393150           160795              0.76              
TES_down_1kb        31509987            180739              5.74              
TES_down_5kb        133913777           458757              3.43              
TES_down_10kb       229952372           600765              2.61              
=====================================================================
