Total Reads                   106535207
Total Tags                    137712787
Total Assigned Tags           129332745
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            57580853            1570.30           
5'UTR_Exons         69838693            9341032             133.75            
3'UTR_Exons         94555913            24812395            262.41            
Introns             1875272435          36810023            19.63             
TSS_up_1kb          26849677            60245               2.24              
TSS_up_5kb          120321950           135120              1.12              
TSS_up_10kb         212393150           189383              0.89              
TES_down_1kb        31509987            167575              5.32              
TES_down_5kb        133913777           452440              3.38              
TES_down_10kb       229952372           599059              2.61              
=====================================================================
