Total Reads                   117494038
Total Tags                    157623812
Total Assigned Tags           148008147
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            75322690            2054.14           
5'UTR_Exons         69838693            9664484             138.38            
3'UTR_Exons         94555913            30252146            319.94            
Introns             1875272435          32007127            17.07             
TSS_up_1kb          26849677            43752               1.63              
TSS_up_5kb          120321950           109654              0.91              
TSS_up_10kb         212393150           163068              0.77              
TES_down_1kb        31509987            178168              5.65              
TES_down_5kb        133913777           456473              3.41              
TES_down_10kb       229952372           598632              2.60              
=====================================================================
