Total Reads                   113481025
Total Tags                    149927034
Total Assigned Tags           141382962
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            67609778            1843.80           
5'UTR_Exons         69838693            9658295             138.29            
3'UTR_Exons         94555913            27577789            291.66            
Introns             1875272435          35766560            19.07             
TSS_up_1kb          26849677            51567               1.92              
TSS_up_5kb          120321950           122325              1.02              
TSS_up_10kb         212393150           175683              0.83              
TES_down_1kb        31509987            171408              5.44              
TES_down_5kb        133913777           453872              3.39              
TES_down_10kb       229952372           594857              2.59              
=====================================================================
