Total Reads                   115119185
Total Tags                    157340476
Total Assigned Tags           147987056
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            79377345            2164.72           
5'UTR_Exons         69838693            9850435             141.05            
3'UTR_Exons         94555913            30652907            324.18            
Introns             1875272435          27391295            14.61             
TSS_up_1kb          26849677            63228               2.35              
TSS_up_5kb          120321950           127301              1.06              
TSS_up_10kb         212393150           169720              0.80              
TES_down_1kb        31509987            156465              4.97              
TES_down_5kb        133913777           422687              3.16              
TES_down_10kb       229952372           545354              2.37              
=====================================================================
