Total Reads                   104432007
Total Tags                    136392207
Total Assigned Tags           128117067
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            60158550            1640.60           
5'UTR_Exons         69838693            7263448             104.00            
3'UTR_Exons         94555913            26943515            284.95            
Introns             1875272435          32970631            17.58             
TSS_up_1kb          26849677            51023               1.90              
TSS_up_5kb          120321950           119552              0.99              
TSS_up_10kb         212393150           171063              0.81              
TES_down_1kb        31509987            163848              5.20              
TES_down_5kb        133913777           463254              3.46              
TES_down_10kb       229952372           609860              2.65              
=====================================================================
