Total Reads                   115132851
Total Tags                    150025540
Total Assigned Tags           141059882
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            64496790            1758.91           
5'UTR_Exons         69838693            9801793             140.35            
3'UTR_Exons         94555913            27519239            291.04            
Introns             1875272435          38404856            20.48             
TSS_up_1kb          26849677            61279               2.28              
TSS_up_5kb          120321950           138685              1.15              
TSS_up_10kb         212393150           196293              0.92              
TES_down_1kb        31509987            188199              5.97              
TES_down_5kb        133913777           485765              3.63              
TES_down_10kb       229952372           640911              2.79              
=====================================================================
