Total Reads                   109272676
Total Tags                    147585559
Total Assigned Tags           138969962
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            70807737            1931.02           
5'UTR_Exons         69838693            10397130            148.87            
3'UTR_Exons         94555913            27889432            294.95            
Introns             1875272435          29184879            15.56             
TSS_up_1kb          26849677            52687               1.96              
TSS_up_5kb          120321950           111401              0.93              
TSS_up_10kb         212393150           153621              0.72              
TES_down_1kb        31509987            195755              6.21              
TES_down_5kb        133913777           426649              3.19              
TES_down_10kb       229952372           537163              2.34              
=====================================================================
