Total Reads                   100708848
Total Tags                    134824182
Total Assigned Tags           126382788
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            63665164            1736.23           
5'UTR_Exons         69838693            9327351             133.56            
3'UTR_Exons         94555913            23045800            243.73            
Introns             1875272435          29814991            15.90             
TSS_up_1kb          26849677            30905               1.15              
TSS_up_5kb          120321950           77862               0.65              
TSS_up_10kb         212393150           117880              0.56              
TES_down_1kb        31509987            105945              3.36              
TES_down_5kb        133913777           304605              2.27              
TES_down_10kb       229952372           411602              1.79              
=====================================================================
