Total Reads                   114680709
Total Tags                    152039928
Total Assigned Tags           142852181
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            69651701            1899.49           
5'UTR_Exons         69838693            11285523            161.59            
3'UTR_Exons         94555913            28984563            306.53            
Introns             1875272435          32215539            17.18             
TSS_up_1kb          26849677            48614               1.81              
TSS_up_5kb          120321950           118701              0.99              
TSS_up_10kb         212393150           173374              0.82              
TES_down_1kb        31509987            143946              4.57              
TES_down_5kb        133913777           406132              3.03              
TES_down_10kb       229952372           541481              2.35              
=====================================================================
