Total Reads                   100323037
Total Tags                    135849736
Total Assigned Tags           127891368
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            66740941            1820.11           
5'UTR_Exons         69838693            9129125             130.72            
3'UTR_Exons         94555913            27124917            286.87            
Introns             1875272435          24284698            12.95             
TSS_up_1kb          26849677            49434               1.84              
TSS_up_5kb          120321950           102939              0.86              
TSS_up_10kb         212393150           141107              0.66              
TES_down_1kb        31509987            124881              3.96              
TES_down_5kb        133913777           357826              2.67              
TES_down_10kb       229952372           470580              2.05              
=====================================================================
