Total Reads                   108156452
Total Tags                    146297156
Total Assigned Tags           137971268
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            71442813            1948.34           
5'UTR_Exons         69838693            10236120            146.57            
3'UTR_Exons         94555913            27755217            293.53            
Introns             1875272435          27910847            14.88             
TSS_up_1kb          26849677            53066               1.98              
TSS_up_5kb          120321950           111721              0.93              
TSS_up_10kb         212393150           154942              0.73              
TES_down_1kb        31509987            129835              4.12              
TES_down_5kb        133913777           359581              2.69              
TES_down_10kb       229952372           471329              2.05              
=====================================================================
