Total Reads                   96893564
Total Tags                    129329348
Total Assigned Tags           121667849
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            60252295            1643.16           
5'UTR_Exons         69838693            7983390             114.31            
3'UTR_Exons         94555913            24265953            256.63            
Introns             1875272435          28483755            15.19             
TSS_up_1kb          26849677            51320               1.91              
TSS_up_5kb          120321950           106556              0.89              
TSS_up_10kb         212393150           145048              0.68              
TES_down_1kb        31509987            187569              5.95              
TES_down_5kb        133913777           421167              3.15              
TES_down_10kb       229952372           537408              2.34              
=====================================================================
