Total Reads                   98693107
Total Tags                    128849226
Total Assigned Tags           120911124
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            56650834            1544.94           
5'UTR_Exons         69838693            7632737             109.29            
3'UTR_Exons         94555913            24699377            261.21            
Introns             1875272435          31223231            16.65             
TSS_up_1kb          26849677            36800               1.37              
TSS_up_5kb          120321950           100819              0.84              
TSS_up_10kb         212393150           156036              0.73              
TES_down_1kb        31509987            138002              4.38              
TES_down_5kb        133913777           405739              3.03              
TES_down_10kb       229952372           548909              2.39              
=====================================================================
