Total Reads                   113334400
Total Tags                    151671371
Total Assigned Tags           142480060
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            71542857            1951.06           
5'UTR_Exons         69838693            10306902            147.58            
3'UTR_Exons         94555913            28191760            298.15            
Introns             1875272435          31728156            16.92             
TSS_up_1kb          26849677            47690               1.78              
TSS_up_5kb          120321950           116906              0.97              
TSS_up_10kb         212393150           171289              0.81              
TES_down_1kb        31509987            147131              4.67              
TES_down_5kb        133913777           404479              3.02              
TES_down_10kb       229952372           539096              2.34              
=====================================================================
