Total Reads                   112492671
Total Tags                    150677196
Total Assigned Tags           141446470
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            71557811            1951.47           
5'UTR_Exons         69838693            9718801             139.16            
3'UTR_Exons         94555913            27957894            295.68            
Introns             1875272435          31520864            16.81             
TSS_up_1kb          26849677            49373               1.84              
TSS_up_5kb          120321950           114737              0.95              
TSS_up_10kb         212393150           164956              0.78              
TES_down_1kb        31509987            151096              4.80              
TES_down_5kb        133913777           398035              2.97              
TES_down_10kb       229952372           526144              2.29              
=====================================================================
