Total Reads                   108789525
Total Tags                    140581725
Total Assigned Tags           132280460
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            58421935            1593.24           
5'UTR_Exons         69838693            8998823             128.85            
3'UTR_Exons         94555913            26402661            279.23            
Introns             1875272435          37678958            20.09             
TSS_up_1kb          26849677            48791               1.82              
TSS_up_5kb          120321950           117377              0.98              
TSS_up_10kb         212393150           171995              0.81              
TES_down_1kb        31509987            175663              5.57              
TES_down_5kb        133913777           461208              3.44              
TES_down_10kb       229952372           606088              2.64              
=====================================================================
