Total Reads                   99393046
Total Tags                    128238682
Total Assigned Tags           120479580
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            52912595            1442.99           
5'UTR_Exons         69838693            6665285             95.44             
3'UTR_Exons         94555913            22549742            238.48            
Introns             1875272435          37586032            20.04             
TSS_up_1kb          26849677            42772               1.59              
TSS_up_5kb          120321950           111959              0.93              
TSS_up_10kb         212393150           167687              0.79              
TES_down_1kb        31509987            178359              5.66              
TES_down_5kb        133913777           450604              3.36              
TES_down_10kb       229952372           598239              2.60              
=====================================================================
