Total Reads                   102144226
Total Tags                    137568657
Total Assigned Tags           129874005
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           36668640            66077245            1802.01           
5'UTR_Exons         69838693            9593630             137.37            
3'UTR_Exons         94555913            25572806            270.45            
Introns             1875272435          28039638            14.95             
TSS_up_1kb          26849677            48647               1.81              
TSS_up_5kb          120321950           103951              0.86              
TSS_up_10kb         212393150           143990              0.68              
TES_down_1kb        31509987            118468              3.76              
TES_down_5kb        133913777           339043              2.53              
TES_down_10kb       229952372           446696              1.94              
=====================================================================
